Date,Close Price (USD),Volume To (USD)
2021-11-20,59769.66,985075173.7
2021-11-21,58700.83,888045056.17
2021-11-22,56303.06,2371226089.18
2021-11-23,57566.6,2153848949.04
2021-11-24,57175.09,1630017073.7
2021-11-25,58966.99,1412787308.46
2021-11-26,53788.22,3312563227.95
2021-11-27,54805.03,1010585542.47
2021-11-28,57331.41,1186994646.57
2021-11-29,57839.55,1690005715.85
2021-11-30,56975.35,2383744473.31
2021-12-01,57227.97,2072824070.98
2021-12-02,56522.76,1712170975.38
2021-12-03,53663.25,2461497753.56
2021-12-04,49243.39,4315348557.56
2021-12-05,49465.5,2074283149.33
2021-12-06,50552.83,2437856119.9
2021-12-07,50633.01,1496164576.66
2021-12-08,50513.04,1290175070.3
2021-12-09,47593.85,1681556175.72
2021-12-10,47191.14,1905617871.17
2021-12-11,49398.4,1181186604.23
2021-12-12,50109.99,1072562349.4
2021-12-13,46731.03,2353893179.4
2021-12-14,48387.69,1646492085.28
2021-12-15,48885.05,2132679583.02
2021-12-16,47635.92,1271265804.99
2021-12-17,46164.14,1756062773.63
2021-12-18,46861.62,874187163.05
2021-12-19,46697.13,1035963939.83
2021-12-20,46913.54,1517599333.73
2021-12-21,48917.48,1546447524.57
2021-12-22,48614.97,1028434929.44
2021-12-23,50830.2,1525047125.27
2021-12-24,50840.36,1107244995.18
2021-12-25,50431.63,585818997.15
2021-12-26,50790.88,736617761.86
2021-12-27,50714.73,1120188136.96
2021-12-28,47536.39,1985905082.17
2021-12-29,46471.7,1599557104.64
2021-12-30,47129.66,1852206857.29
2021-12-31,46197.31,1636014399.31
2022-01-01,47737.35,786729972.03
2022-01-02,47306.41,615453426.93
2022-01-03,46450.79,1011309525.84
2022-01-04,45824.54,1349229422.84
2022-01-05,43432.51,2152187256.39
2022-01-06,43094.54,1585314774.47
2022-01-07,41543.79,2146452950.19
2022-01-08,41686.67,1143171232.86
2022-01-09,41869.6,901652458.82
2022-01-10,41832.59,2140270933.32
2022-01-11,42743.03,1545270650.68
2022-01-12,43919.67,1384575768.8
2022-01-13,42575.61,1263083590.1
2022-01-14,43089.83,1165100829.55
2022-01-15,43088.74,607715303.39
2022-01-16,43100.36,543620929.25
2022-01-17,42224.38,861459661.83
2022-01-18,42372.75,1099916846.37
2022-01-19,41674.8,1359832054.32
2022-01-20,40697.03,1482814889.83
2022-01-21,36469.3,3610621840.61
2022-01-22,35075.92,2419705021.17
2022-01-23,36288.15,1405386710.59
2022-01-24,36702.79,3289034581.3
2022-01-25,36975.99,1632275610.85
2022-01-26,36829.37,2163384356.61
2022-01-27,37189.85,1671118834.49
2022-01-28,37744.7,1439590445.61
2022-01-29,38184.86,913551592.58
2022-01-30,37908.44,658154943.17
2022-01-31,38494.66,1310842543.43
2022-02-01,38721.49,1255765239.87
2022-02-02,36918.19,1099971099.08
2022-02-03,37328.64,1012101574.73
2022-02-04,41590.34,1978064223.39
2022-02-05,41418.21,923755180.09
2022-02-06,42412.41,600848486.11
2022-02-07,43861.07,1836978530.57
2022-02-08,44080.12,1972336800.82
2022-02-09,44422.91,1207982275.77
2022-02-10,43531.67,2027452816.67
2022-02-11,42398.98,1694547021.08
2022-02-12,42239.01,747480841.84
2022-02-13,42069.84,525779246
2022-02-14,42552.28,1183004344.86
2022-02-15,44576.33,1210638166.2
2022-02-16,43896.34,905511530.54
2022-02-17,40545.09,1669164372.28
2022-02-18,39994.66,1308787736.51
2022-02-19,40107.12,467744109.72
2022-02-20,38397.25,890707081.68
2022-02-21,37037.39,1819938918.66
2022-02-22,38267.75,1605539398.15
2022-02-23,37270.85,1218156854.61
2022-02-24,38353.62,3367553842.97
2022-02-25,39239.77,1536575836.24
2022-02-26,39134.83,732995982.54
2022-02-27,37714.96,1184510440.64
2022-02-28,43189.46,2231772118.95
2022-03-01,44428.47,2121207162.06
2022-03-02,43935.37,1652867992.22
2022-03-03,42474.37,1565020513.9
2022-03-04,39154.4,2043287977.87
2022-03-05,39407.02,624289503.91
2022-03-06,38428.92,818379145.11
2022-03-07,38030.63,1547870219.6
2022-03-08,38748.52,1373819361.89
2022-03-09,41962.85,1960521974.24
2022-03-10,39443.42,1683595949.7
2022-03-11,38741.03,1527385235.35
2022-03-12,38805.53,464694957.41
2022-03-13,37796.31,687723583.56
2022-03-14,39696.28,1245884221.15
2022-03-15,39314.86,1196862773.71
2022-03-16,41133.64,2217384588.25
2022-03-17,40956.79,736387236.02
2022-03-18,41790.97,1310605069.99
2022-03-19,42235.02,638860853.99
2022-03-20,41243.16,647551620.15
2022-03-21,41043.9,897693606.33
2022-03-22,42380.11,1597913842.6
2022-03-23,42904.1,1116852856.74
2022-03-24,44006.77,1514036890.73
2022-03-25,44331.36,1529847572.88
2022-03-26,44542.31,513402297.27
2022-03-27,46842.14,1035071605.98
2022-03-28,47128.71,1697234773.76
2022-03-29,47445.3,1324122253.95
2022-03-30,47056.41,1158606188.62
2022-03-31,45522.65,1350600519.47
2022-04-01,46299.75,1558891962.07
2022-04-02,45822.28,765849775.02
2022-04-03,46414.26,809819360.86
2022-04-04,46609.36,1145480471.77
2022-04-05,45501.58,1118296319.71
2022-04-06,43177.78,1918395755.34
2022-04-07,43466.21,989892880.8
2022-04-08,42273.38,1098738940.21
2022-04-09,42768.61,384171498.87
2022-04-10,42153.77,549311405.43
2022-04-11,39536.71,1423397890.93
2022-04-12,40086.66,1087667635.69
2022-04-13,41150.33,990022174.31
2022-04-14,39951.63,870654332.34
2022-04-15,40563.69,561514975.78
2022-04-16,40392.55,313875941.14
2022-04-17,39688.16,389893199.53
2022-04-18,40811.03,1101204133.54
2022-04-19,41504.44,768239204.72
2022-04-20,41375.35,1072814871.19
2022-04-21,40490.97,1324052657.83
2022-04-22,39716.04,1154693915.31
2022-04-23,39445.97,455659637.8
2022-04-24,39466.26,501272140.43
2022-04-25,40437.52,1514243711.31
2022-04-26,38117.39,1492483889.14
2022-04-27,39252.04,1341340920.21
2022-04-28,39749.75,1188927763.73
2022-04-29,38594.22,964020058.19
2022-04-30,37650.13,525291276.33
2022-05-01,38480.53,659030267.75
2022-05-02,38513.01,1152557748.76
2022-05-03,37725.38,1095654277.96
2022-05-04,39680.21,1426469839.29
2022-05-05,36546.86,1920976838.73
2022-05-06,36009.89,1682230363.22
2022-05-07,35469.21,713980596.97
2022-05-08,34033.77,1413921299.77
2022-05-09,30076.9,3472851115.69
2022-05-10,31013.12,3244062170.09
2022-05-11,29017.21,3967102738.94
2022-05-12,28915.72,4501368166.33
2022-05-13,29244.83,1942170683.15
2022-05-14,30050.31,845013800.63
2022-05-15,31296.11,810199953.22
2022-05-16,29838.5,1242326194.24
2022-05-17,30415.91,1000070390.57
2022-05-18,28667.29,1322816665.45
2022-05-19,30282.48,1453211639.97
2022-05-20,29166.15,1692088244.46
2022-05-21,29410.72,462392582.18
2022-05-22,30264.29,639923811.62
2022-05-23,29075.68,1147137210.63
2022-05-24,29630.05,826118559.89
2022-05-25,29508.27,800315804.06
2022-05-26,29188.71,1314694988.34
2022-05-27,28597.33,1054644721.04
2022-05-28,29013.53,365397751.75
2022-05-29,29452.23,374906552.33
2022-05-30,31716.41,1426112899.49
2022-05-31,31782.16,1028808882.28
2022-06-01,29789.58,1343136773.16
2022-06-02,30439.63,932339972.84
2022-06-03,29680.3,734000142.92
2022-06-04,29845.48,310298122.38
2022-06-05,29897.9,311392830.2
2022-06-06,31353.78,1076503583.85
2022-06-07,31111.75,1340573593.65
2022-06-08,30189.27,844411303.8
2022-06-09,30082.94,620735850.86
2022-06-10,29067.38,1133049950.35
2022-06-11,28389.49,696986226.28
2022-06-12,26587.35,1060464718.45
2022-06-13,22471.59,4089411013.33
2022-06-14,22118.37,2063908671.45
2022-06-15,22566.73,2516136880.34
2022-06-16,20372.85,1326876814.5
2022-06-17,20432.26,1312456705.74
2022-06-18,18954.25,1898530847.49
2022-06-19,20553.48,1190970309.62
2022-06-20,20550.91,995940744.76
2022-06-21,20699.21,954292227.72
2022-06-22,19956.16,1027725806.49
2022-06-23,21098.41,836636021.34
2022-06-24,21219.46,850728330.88
2022-06-25,21474.19,459148971.07
2022-06-26,21031.85,445023789.79
2022-06-27,20718.16,643546203.12
2022-06-28,20251.96,680727935.72
2022-06-29,20094.16,751143299.02
2022-06-30,19908.49,1084138608.25
2022-07-01,19249.33,1220917103.86
2022-07-02,19225.66,393018265.78
2022-07-03,19294.21,430213883.45
2022-07-04,20212.81,623812499.17
2022-07-05,20158.69,931653558.35
2022-07-06,20545.04,794040793.32
2022-07-07,21611.8,1059807101.57
2022-07-08,21592.65,1233183200.22
2022-07-09,21582.17,455218724.75
2022-07-10,20846.53,485593616.02
2022-07-11,19944.25,756481179.49
2022-07-12,19309.71,873486517.39
2022-07-13,20230.81,1176644137.94
2022-07-14,20577.38,1021414563.11
2022-07-15,20827.27,747216252.44
2022-07-16,21199.01,586102523.47
2022-07-17,20792.81,544609266.04
2022-07-18,22447.39,1466428849.49
2022-07-19,23399.91,1796378775.92
2022-07-20,23222.77,1752951921.32
2022-07-21,23153.54,1201004931.31
2022-07-22,22686.32,987692728.11
2022-07-23,22452.14,577941932.27
2022-07-24,22585.4,504031294.93
2022-07-25,21305.59,940453686.83
2022-07-26,21258.08,809969148.7
2022-07-27,22960.19,1159394788.9
2022-07-28,23855.65,1303025378.67
2022-07-29,23769.15,1011106548.39
2022-07-30,23646.03,778025187.47
2022-07-31,23308.14,545406548.92
2022-08-01,23271.57,730342406.93
2022-08-02,22991.49,787698099.6
2022-08-03,22825.25,1039306431.63
2022-08-04,22622.99,835033359.1
2022-08-05,23319.22,1166014614.12
2022-08-06,22956.4,400822462.12
2022-08-07,23179.86,388274452.92
2022-08-08,23817.72,976262666.12
2022-08-09,23156.66,894336181.98
2022-08-10,23959.67,1241926276.36
2022-08-11,23943.36,1338354341.04
2022-08-12,24412.17,816924712.5
2022-08-13,24449.86,710217434.56
2022-08-14,24313.71,886604908.12
2022-08-15,24101.69,1331189946.12
2022-08-16,23858.64,874700819.79
2022-08-17,23338.03,1079499588.63
2022-08-18,23201.51,582346641.96
2022-08-19,20833.43,1770449474.07
2022-08-20,21142.06,803223608.15
2022-08-21,21514.79,650828688.99
2022-08-22,21399.66,940511413.54
2022-08-23,21520.62,879396196.46
2022-08-24,21369.05,912147556.2
2022-08-25,21565.47,674553131.93
2022-08-26,20247.99,1564850841.73
2022-08-27,20038.42,774590756.91
2022-08-28,19554.08,597441164.24
2022-08-29,20292.37,1043661877.31
2022-08-30,19813.51,1405744450.56
2022-08-31,20050.28,1165077708.26
2022-09-01,20129.93,896421556.74
2022-09-02,19957.44,836881983.68
2022-09-03,19834.79,339922228.57
2022-09-04,20003.46,387149235.82
2022-09-05,19793.29,518213568.45
2022-09-06,18791.95,1428040857.48
2022-09-07,19287.52,961396794.5
2022-09-08,19321.77,850349370.86
2022-09-09,21369.73,1657848347.88
2022-09-10,21655.13,752905078.21
2022-09-11,21836.45,600008216.45
2022-09-12,22400.52,1264510737.92
2022-09-13,20173.77,1788207293.16
2022-09-14,20233.68,1065222653.27
2022-09-15,19700.15,892897629.94
2022-09-16,19804.02,948028635.91
2022-09-17,20118.35,723991455.67
2022-09-18,19417.72,622064584.36
2022-09-19,19541.28,1289079956.8
2022-09-20,18879.95,1124075891.27
2022-09-21,18468.05,1811417134.73
2022-09-22,19405.96,1827681691.12
2022-09-23,19291.13,1261371285.29
2022-09-24,18924.39,566563739.62
2022-09-25,18809.94,544445399.91
2022-09-26,19230.96,1874981288.59
2022-09-27,19081.4,2089386131.83
2022-09-28,19412.67,1792918120.6
2022-09-29,19593.46,1327829608.79
2022-09-30,19425.63,1428753976.44
2022-10-01,19313.96,286091612.81
2022-10-02,19058.15,485799328.96
2022-10-03,19632.35,1106456268.73
2022-10-04,20344.58,1290593290.94
2022-10-05,20160.74,1195512448.37
2022-10-06,19965.12,1502842418.9
2022-10-07,19532.81,1177831670.26
2022-10-08,19419.32,339438324.44
2022-10-09,19442.41,386265984.43
2022-10-10,19131.36,856332007.87
2022-10-11,19058.29,1173375200.58
2022-10-12,19154.85,744262154.09
2022-10-13,19378.91,1669767296.93
2022-10-14,19182.01,1445859713.35
2022-10-15,19069.72,290658263.23
2022-10-16,19264.26,303391318.02
2022-10-17,19550.49,831592233.83
2022-10-18,19330.29,1167039781.8
2022-10-19,19123.89,943284685.97
2022-10-20,19043.54,1244652119.42
2022-10-21,19166.4,1191982244.05
2022-10-22,19207.57,314703377.71
2022-10-23,19572.6,607568457.44
2022-10-24,19331.06,1228052555.79
2022-10-25,20087.18,2052122456.45
2022-10-26,20776.76,2453067543.31
2022-10-27,20295.28,1813055358.34
2022-10-28,20599.89,1597589795.85
2022-10-29,20820.19,1219658735.57
2022-10-30,20630.65,797587682.85
2022-10-31,20492.56,1260610163.71
2022-11-01,20480.27,997276692.3
2022-11-02,20150.33,1861306372.17
2022-11-03,20207.99,1095711784.35
2022-11-04,21150.6,2037648086.91
2022-11-05,21301.57,706196028.56
2022-11-06,20910.59,586960236.65
2022-11-07,20593.73,1506814091.81
2022-11-08,18544.7,4026079371.74
2022-11-09,15820.02,4215919087.89
2022-11-10,17559.67,2835119228.72
2022-11-11,17007.72,1767514338.22
2022-11-12,16773.9,582536367.95
2022-11-13,16307.47,586182485.99
2022-11-14,16592.04,1384247874.05
2022-11-15,16879.14,1282932319.76
2022-11-16,16648.05,1075046774.52
2022-11-17,16680.21,650179026
2022-11-18,16677.95,753255014.89
2022-11-19,16683.72,282884885.11
2022-11-20,16253.6,470894190.07
2022-11-21,15760.19,1289350720.98
2022-11-22,16198.25,1184556737.9
2022-11-23,16590.98,1087435133.37
2022-11-24,16588.46,624934230.62
2022-11-25,16508.33,572460119.25
2022-11-26,16451.53,346443601.6
2022-11-27,16420.87,300543689.5
2022-11-28,16207.01,867757025.61
2022-11-29,16431.79,833578637.87
2022-11-30,17162.35,1460126671.64
2022-12-01,16978.64,978462617.82
2022-12-02,17094.49,771518084.81
2022-12-03,16888.31,419139334.98
2022-12-04,17111.76,508091945.23
2022-12-05,16966.84,1077884559.22
2022-12-06,17086.52,811906594.36
2022-12-07,16837.85,710367336.21
2022-12-08,17226.02,827814503.9
2022-12-09,17126.85,712368959.63
2022-12-10,17129.19,296657331.89
2022-12-11,17094.83,379827965.39
2022-12-12,17208.66,739369625.44
2022-12-13,17775.32,1407400841.45
2022-12-14,17801.37,1523737945.31
2022-12-15,17359.21,1200283423.38
2022-12-16,16658.44,1508594012.33
2022-12-17,16780.55,684665347.29
2022-12-18,16742.74,421765916.48
2022-12-19,16442.79,1050395879.84
2022-12-20,16901.12,1315229591.09
2022-12-21,16821.13,711271059.5
2022-12-22,16816.01,814340454.91
2022-12-23,16780.97,789038908.8
2022-12-24,16837.16,293139806.69
2022-12-25,16829.1,295850564.63
2022-12-26,16916.07,347724478.09
2022-12-27,16700.54,720956171.23
2022-12-28,16540.47,901583901.63
2022-12-29,16631.24,682471478.61
2022-12-30,16599.47,880260779.52
2022-12-31,16531.31,456998456.42
2023-01-01,16613.87,335220861.58
2023-01-02,16670.08,503360386.62
2023-01-03,16670.16,628582193.83
2023-01-04,16846.82,990689260.54
2023-01-05,16825.87,524511536.58
2023-01-06,16946.16,883642131.54
2023-01-07,16942.73,196915427.54
2023-01-08,17115.81,359149910.85
2023-01-09,17179.03,1271943559.93
2023-01-10,17442.44,997764944.91
2023-01-11,17938,1113334370.52
2023-01-12,18849,2252897545.61
2023-01-13,19932.05,1820146569.6
2023-01-14,20954.52,2223938908.13
2023-01-15,20878.94,924310249.74
2023-01-16,21188.92,1399257790.94
2023-01-17,21136.12,1181967488.8
2023-01-18,20678.47,1733563128.99
2023-01-19,21082.28,1141134569.38
2023-01-20,22676.2,1793127005.71
2023-01-21,22789.92,2212422402.47
2023-01-22,22714.99,1419749432.93
2023-01-23,22917.47,1622068993.43
2023-01-24,22637.8,1788469593.53
2023-01-25,23066.28,2010835832.21
2023-01-26,23009.15,1477492373.79
2023-01-27,23077.75,1499524205.45
2023-01-28,23031.02,465656885.65
2023-01-29,23747.26,1356557545.16
2023-01-30,22833.34,1699735992.01
2023-01-31,23129.7,1144361734.86
2023-02-01,23730.52,1166002955.1
2023-02-02,23470.8,1378661476.28
2023-02-03,23437.21,961229252.16
2023-02-04,23332.1,334962158.54
2023-02-05,22940.79,628865943.88
2023-02-06,22761.44,918256802.27
2023-02-07,23252.78,852489794.18
2023-02-08,22961.13,746102368.06
2023-02-09,21807.55,1626493846.29
2023-02-10,21634.86,1139170302.72
2023-02-11,21862.19,371394433.41
2023-02-12,21790.14,601407332.2
2023-02-13,21787.77,1271661452.37
2023-02-14,22208.56,1121665134.71
2023-02-15,24332.21,1636571319.77
2023-02-16,23533.22,2195432803.47
2023-02-17,24578.28,2024871806.46
2023-02-18,24638.27,550069111.96
2023-02-19,24287.53,1073608902.53
2023-02-20,24838.09,1341924666.63
2023-02-21,24450.5,1699888067.11
2023-02-22,24186.92,1707889533.14
2023-02-23,23941.1,1630064365.85
2023-02-24,23189.78,1610829236.2
2023-02-25,23168.68,569329617.92
2023-02-26,23557.29,632282012.46
2023-02-27,23492.86,1057863335.56
2023-02-28,23137.23,814380395.42
2023-03-01,23642.8,1070132297.9
2023-03-02,23467.23,813452928.16
2023-03-03,22360.92,1328714697.97
2023-03-04,22353.23,264342272.32
2023-03-05,22434.09,468467084.05
2023-03-06,22410.79,607585243.32
2023-03-07,22201.44,865083425.31
2023-03-08,21704.74,907354581.02
2023-03-09,20370.48,1584851678.8
2023-03-10,20206.71,2103890132.26
2023-03-11,20613.6,1416403424.21
2023-03-12,22183.71,1352204877.06
2023-03-13,24207.1,2198916015.73
2023-03-14,24757.56,2783419006.43
2023-03-15,24372.11,1826358018.09
2023-03-16,25049.83,1372954004
2023-03-17,27441.41,2554985216.53
2023-03-18,26973.46,1335463761.57
2023-03-19,28040.29,1337898482.67
2023-03-20,27807.05,1838684361.11
2023-03-21,28188.11,1282225223.57
2023-03-22,27316.18,2277940781.79
2023-03-23,28345.7,1769187941.89
2023-03-24,27493.01,1456957038
2023-03-25,27492.83,618098148.62
2023-03-26,27995.16,734596186.26
2023-03-27,27146.01,1256153698.38
2023-03-28,27266.08,997573892.51
2023-03-29,28355.7,1396887121.69
2023-03-30,28040.71,1666973949.92
2023-03-31,28474.62,1278854661.75
2023-04-01,28468.49,446928904.2
2023-04-02,28187.85,461356032.51
2023-04-03,27809.04,1328993515.18
2023-04-04,28177.23,911124090.2
2023-04-05,28180.06,1072312476.98
2023-04-06,28043.49,730428566.02
2023-04-07,27927.8,407205241.71
2023-04-08,27953.93,259437156.74
2023-04-09,28340.68,459285638.27
2023-04-10,29655.75,1211248945.3
2023-04-11,30226.45,1420381272.66
2023-04-12,29905.56,1094799669.68
2023-04-13,30407.76,967351995.59
2023-04-14,30491.71,1491399385.72
2023-04-15,30321.55,413221716.15
2023-04-16,30322.37,524392638.12
2023-04-17,29446.34,1037503329.39
2023-04-18,30395.53,1095189891.18
2023-04-19,28821.91,1600523152.28
2023-04-20,28248.11,1180562733.76
2023-04-21,27261.17,1207725781.37
2023-04-22,27820.73,479603472.21
2023-04-23,27596.85,504160726.43
2023-04-24,27520.93,940115640.57
2023-04-25,28308.07,876191270.4
2023-04-26,28432.89,2278451179.33
2023-04-27,29483.94,1850604653.99
2023-04-28,29339.99,1030276785.7
2023-04-29,29251.2,332020115.89
2023-04-30,29236.81,685897041.94
2023-05-01,28086.77,1246630368.83
2023-05-02,28694.7,927486609.7
2023-05-03,29041.65,1150554649.51
